ID,Additional_Comments,Label
27,Sometimes unreliable. Difficult to remember all of the required fields as they aren't all marked with *'s. not entirely intuitive either. I prefer navigator as all the fields you need are face up in front of you.,
28,"It works but I am not a fan of it. I do understand the need for change requests and inventory however, I just do not like it as a ticketing system.",
29,"Remedy is NOT user friendly nor is it intuitive.  Once you learn it's quirks, you're ok... until then - it's painful. :)",
30,"no input fields for large graphics, slow integration to Outlook",
31,Raising a ticket has become dificult,
32,"very bad performance in germany, often results in timeouts",
33,"Slow, bulky",
34,"Very slow, has improved some.  However latest upgrade was a disaster and forced everyone to audit all of the nodes to make sure information was still correct",
35,SO slow and consistently crashes,
36,Remedy is a daily struggle.  Constantly spools,
37,"I tested Remedy in a former company, this is a great application but the system here is still buggy- KB articles are lost in translation, hard to maintain, and searching for them is like searching for a needle in a haystack but that haystack in covered in time stealing ooze...you get the drift",
38,this is very difficult still for me to connect to and use,
39,"Buggy, errors out a lot",
40,reports are awful  - not one stream of chronoligical comments,
41,"It takes a long time to load a client list and I am unable to just type in a known client mnemonic, which can lead me to having to scroll through a giant list of mnemonics.",
42,Has become too slow at recent times.,
43,slow for remote users and would like mobile device access,
44,"Don't use much, but it loads and navigates VERY slowly for remote access",
45,i don't have to use it much but we haven't had any real training for it in my role,
46,"Slow, frequent bugs/outages",
47,"It is confusing because when a client opens an ""EService"" ticket, it is not the same Remedy ticket number.",
48,"too many issues with being down, slowness",
49,Performance issues too often.  Concerned about the addition of more users later this year.,
50,Don't use very often,
51,"I like to finally have an ITSM supporting tool. It takes away the need to feed Excel tables. On the other hand, the UI performance is weak away from KC and it is not usable without errors without a training.",
52,handling complicated,
53,"Remedy is finicky and has trouble linking with Navigator. If everyone were on Remedy, it would be easier.",
54,Super confusing to use and slow.,
55,"Remedy is easier than Navigator, however whenever tickets are transferred between us and AMS the dates are all reflective of the day it was transferred. This makes it super difficult to work through a ticket with lots of existing communication.",
56,Seems cumbersome/clunky,
57,My first attempt to login fails everytime. Why do i have to log in twice to get in?,
58,"can be slow at times, makes it difficult to work.",
59,"Does a lot of great things with asset tracking, but feel it goes down a lot or is really slow at times.",
60,slow to query for past CRs,
61,Can get sluggish at times,
62,sometimes very slow performance,
63,needs to have a required built in computer field mattched to asset inventory,
64,Seems like it crashes once a week. Could use some improvement on being user friendly.,
65,Logging and updating tickets is often slow with clients on the phone,
66,Works well with Google chrome,
67,"SSO was a big improvement, but still times out requiring me to refresh page",
68,Sometimes it is a little slow.,
69,"the ASK portal for ticket submission is awesome, Remedy is pretty slow at times though.",
70,quirky,
71,Delay in updates at times,
72,somewhat slow to load different pages,
73,U[pdates make remedy aggravating,
74,Remedy can be slow in loading.,
75,Good solution - as much fun as tickets can be.  So much better than Navigator for ease of use!,
76,NO MORE NAVIGATOR!,
77,"Leads/managers need to have on time reports access facility. More automation required - for each email received at common HRSC mailbox, Remedy should automatically log SR, Logs such as SR bouncing are in text format, make it tabular format for quick reference.",
78,"awful; slowness daily, it is very delayed when clicking through the Remedy pages; icons sometimes are not visible, requiring a complete computer reboot to finally display",
79,We were told we'd be making the move to remedy for solution consulting but this hasn't happened yet. I'm eagerly looking forward to the day we do!,
80,don't use it yet,
81,not sure what this is,
82,Will begin using in Q3 2017,
83,N/A,
84,never used,
85,Never used it.,
86,never used,
87,"just started using it. seems hard to update work groups,",
88,Don't use it.,
89,Will be using soon and hoping for improvement over Navigator,
90,Dont have in CME for my role,
91,My team hasn't transitioned yet,
92,I don't have access... probably should sometimes...,
93,"NA for now, will be having it soon",
94,Do not use,
95,Never used,
96,Have never used,
97,I have never used this.,
98,Haven't used it.,
99,Have not used yet.,
100,Still using Navigator,
101,I don't use this,
102,"New Associate, I have not used this service yet.",
103,idk what that is,
104,"I do not use Remedy regularly, but when I do I find it incredibly non-intuitive compared to other queue systems like jira, bugzilla, etc.",
105,Worst piece of software I have ever used.,
106,Remedy is too slow to be productive.,
107,"Very slow and unintuitive, afraid of what happens when SWx/CWx move to it for Incident Management",
108,"Freezes, loses entered data, bad search tools",
109,Seems like every update only makes it worse,
110,no mobile app.  too many unnecessary settings.  very little useful information for management,
111,It doesnt let me log in.,
112,Snails could be faster,
113,"very slow, times out but appears to be open still, very painful to use",
114,No option for reopen a request,
115,Old and hard to use.  Not collaborative like Jira.,
116,Bloated useless tool,
117,Customizations take too long.,
118,slow and unstable,
119,not very intuitive,
120,clunky interface,
121,"CRs going into a ""scheduled"" state since Oct 216 and is still an issue.  Remedy is also slow, especially from home.",
122,"sometimes it simply will not start up and just hangs.  Once open, it works great, but at least twice a week I cannot open remedy and have to wait until the problem resolves itself.",
123,New-window city,
124,"I'm deep in the admin portions, though, so I'm biased.",
125,SLOW!,
126,a tool trying to do too many things for too many people. User input fatigue at best. Poor data sources for required fields.,
127,We seriously have to move the bar.  Response times and UI are very poor.,
128,"This is a love hate thing. I love the power of reporting we have with it. Hate the maintenance. I don't work tickets anymore, but for the last year/year and a half, I spend 4-8 hours a day in this thing just to make it work for our team more efficiently.  I'm hoping that after these last rounds of changes and OCSM updates we'll be done doing this.  Really easy to put mass things in, insanely stupid to take things out. For example, I had",
129,"i struggle to see all the information that i need in remedy - however, this could just be my last of knowledge of how it works",
130,Remedy is not exactly the most intuitive in my opinion.,
131,"it's gotten better, but it feels like we're making Cerner fit how Remedy works instead of getting an application the will function the way Cerner works",
132,has been a bear to work with and the move to it is not being communicated well or trained upon,
133,constant logging out,
134,Terrible to navigate,
135,The remedy web interface is so slow and convoluted for some processes especially when modifying passwords,
136,"I believe there is a lot of issues with the Remedy platform and ServiceNow is a much better solution, though I don't think a shift will occur anytime soon.  My biggest complaints with Remedy is the slowness and navigational roadblocks to perform our job functions in a timely manner.",
137,Tool is very sow,
138,System is slow.,
139,very difficult to use,
140,hard to find what you are looking for,
141,difficult to submit tickets.  Would like to see the process made easier.  Especially when you don't know the solution/or who to submit the ticket to,
142,I find remedy extremely difficult to use when I need to review a ticket which thankfully is rare,
143,slow response time in many functions such as relationships,
144,Remedy is extremely difficult to use.  Sometimes it won't even complete launching.,
145,cumbersome,
146,"Complycated, difficult to wirte tickets",
147,Need Training,
148,"Expected integration with existing client ticketing system (e-mail/webservices/other), to prevent duplication of work",
149,Extremely poor connectivity,
150,Remedy is too slow in Europe,
151,Remedy frequently runs sluggishly on an otherwise stable internet connection.,
152,"poor interface and it seems pretty old, needs to be modernized",
153,It's incredibly too slow.,
154,Incident Management - Softwware focus makes documenting my focus area (hardware) difficult,
155,Too difficult to navigate,
156,"Performance is a big issue, especially in the UAE and from customer sites.",
157,Its very slow,
158,sluggish,
159,Remedy and Navigator should be linked. It is pain to have to switch from one to another to move tickets. The fields are way too small and the flow isn't easy to flow. Save buttons and others at the bottom 'hide' or get chopped off depending on your resolution. The options to locate the right application type are not user friendly at all. Most of the time it looks like people just guess.,
160,just started getting exposed to it recently but doesn't seem to offer many details,
161,It is a challenge for it to be disconnected from other solutions.,
162,hate it - it is just too hard to open a ticket,
163,Sometimes does not load completely until several tries,
164,Very slow,
165,seems to be very unstable; I get thrown out of Remedy all the time,
166,So many options that may only be applicable to one or two business units. Tailoring the GUI based on differing business needs seems like it would be very helpful.,
167,Slow response times,
168,Not very intuitive. Very slow. Limited options for customization.,
169,I have little interaction with Cerner Remedy.,
170,Never used,
171,What's remedy?,
172,It's ok.,
173,Do not use,
174,"I hope we have a dedicated team for optimizing and facilitating working with Remedy. It would be nice if we had communication paths to that team too. If these exist, please ensure this information is accessible.",
175,Very clunky and always giving errors,
176,Complicated,
177,need to ALL teams converted to it,
178,I don´t work with this,
179,"I don't really understand the cause of this, but I can get to Remedy via the external URL from my client-side VDI on the client's network, but I cannot get to the same url from my Cerner laptop once I get behind the client's firewall (which of course also severs the direct URL).",
180,"Hey it's pretty good, but it's a CMDB with a lot of stuff.  Am I right?",
181,performance is often poor,
182,Freezes regularly.,
183,Needs iPhone/mobile app,
184,facing slow response while compiling reports,
185,From BLR office speed is a concern,
186,Remedy is very slow.,
187,Could use more ease of use and functionality in Change Management Console. Need better org integration i.e. AMS,
188,sometimes slow,
189,incident and change work  well. Asset management could use improvement.,
190,There are some features of Remedy that are a little clunky that make it difficult to use.,
191,Wonderful,
192,Haven't used it enough to talk intelligently,
193,Not used it yet,
194,Have not used yet.,
195,Doesn't launch for my org until Sept.,
196,Our team has not started leveraging this yet,
197,Haven't transitioned yet,
198,"Go live 8th September, cannot comment until then!",
199,Not live on it yet.,
200,We'll see after the switch over in a couple weeks.,
201,Haven't used it yet.   Just had one overview and I'm not sure how I'll like it yet.,
202,Havent used it yet,
203,what is this?,
204,Unable to speak into this yet.,
205,Not used yet,
206,I have not used,
207,Performs slow.  To many unnecessary fields that I can't pre-populate.  I've tried templates and they do not speed things up for me.  Inability to search for all network changes easily.  Bugs that don't allow others to approve my CR.,
208,no open APIs,
209,"Very slow performance, frequently crashes",
210,Terrible piece of software; it has lots of features but is not intuitive to use; Navigator was clunky but it had organization - Remedy lacks organzation and is chaotic to navigate,
211,very slow and hard to navigate,
212,I'm shocked we couldn't have found a better ticketing system than this. Getting input from the people actually working the tickets would've been beneficial when making these decisions.,
213,horrible tool,
214,"There are better tools, not a good tool for Cerner. We have a number of clients who have discontinued use of Remedy due to functionality and performance.",
215,Slow response time and times out too quickly.Emails for customer contact on CAM alerts.,
216,Why are there so many issues??,
217,search options do not seem to work well,
218,"Remedy is okay, but it is not very user friendly.  It would be great to receive notifications when a response has occurred.",
219,"Workflow is horrible. Too many settings, excessively long training, hundreds of clicks that could be done in dozens, etc.",
220,Slow. Search has gotten better.,
221,although i dont use this often i was not included in the training. and only two days were offered.,
222,"It's Remedy, will we ever be satisfied with it?",
223,too slow,
224,"Slow, clunky, search is slow and hard to use.",
225,Poor performance,
226,I work in Remedy all day long and train client sites on using it. It is so slow off campus especially that it is almost unusable. I feel terrible for our clients using it. It's very much a downgrade for them when they sign a help desk contract.,
227,"Remedy would be better if it was faster, and if we didn't have to go through a million steps whenever we submit change requests. CWx2 better be compatible with it by the time Navigator goes away",
228,Very slow.  Frequently hangs.,
229,cumbersome and slow,
230,I am VERY worried about the cutover to Remedy. Remedy is extremely slow compared to Navigator and I fear it will be even more slow when all associates are using it.,
231,Takes forever to launch,
232,outdated,
233,it's a chore,
234,too slow,
235,"The workflow is very comprehensive, but is also unnecessary in many instances. Although the entire process of ticketing is done within the one program, it also still takes longer than using 2-3 programs together (navigator, SRM, Pivot).",
236,Often takes forever to load.,
237,Needs improvement,
238,Too slow.,
239,Froze within three seconds of use,
240,Not  user friendly and seems like extra steps,
241,use through Support is clunky,
242,Slow with multiple crashes.  Doesn't like multiple sessions open.,
243,"From the KT I went too, it seems like more clicks are going to be required compared to Navigator",
244,Not properly coded,
245,No Alias Lookup,
246,ITWx could use their own Instance for CMDB,
247,cumbersome; many windows do not fit my laptop screen,
248,"Slow to load anything, and the Knowledge Base is absolute garbage. You can't find anything in it. Searches return irrelevant results or no results, and rarely anything in between.",
249,not a good performance,
250,Issues affecting availability of the Remedy service are frustrating and significantly impact my ability to perform job duties.,
251,Loads really slow. Receives random error messages. Crashes over multiple browsers..,
252,Not very easy to follow,
253,Slow and freezes a lot.,
254,Clunky and bloated... even being new,
255,"It is clearly hindsite, but we could have easily built a Service Management tool with the time and expense we spent over the many years we have been moving to Remedy.",
256,don't know yet,
257,"Begin using it next week; so far it is going to be a lot of extra, manual work",
258,unknown for managing client tickets.  Okay for internal but my past tickets are often not displayed.,
259,still not released on the time i am doing this survey.,
260,Very slow to load at times,
261,Slow in the german afternoon,
262,"not yet implemented, but I'll give it a chance. Like all things, clear, precise user-friendly instructions and contact person is never included; just vague comments glued together by someone in the Maldives.",
263,slow to connect,
264,I think this program is difficult to figure out and heavy on the clicks.,
265,I've yet to use this service.,
266,most of the time remedy is very slow,
267,"We will see, there are parts that seem like they will be better and other things that were useful to be able to do that are literally impossible with it.",
268,I don't use it.,
269,I have not really started using it as of yet,
270,Still learning it,
271,haven't used it much yet,
272,I find the system slow and unintuitively laid out with simple tasks that are available with one click in Naviagtor now requiring opening new screens and and taking much longer to complete the same tasks.,
273,Not used that much.,
274,"Have only done the training, haven't actually used it.",
275,haven't used it yet,
276,"Still new to me, but it seems fine so far...",
277,Unstable and slow,
278,it becames slowly recently,
279,Some workflows are a bit too complicated to implement,
280,not the easiest system to navigate,
281,Needs improvement locks up and gets too many error messages while we are working in it. Not convenient when on a call.,
282,It's better than it was 'out of the box' several years ago.,
283,Could be a whole lot faster,
284,"slow, slow slow...",
285,Tool is good but slow,
286,Have not yet began to use,
287,haven't used yet,
288,Have never used,
289,Have not used,
290,Have not yet had to use,
291,I haven't used this,
292,have not used yet,
293,i haven't used it,
294,Have not used yet.,
295,Have not had to use yet,
296,It's way too complicated compared to what Navigator was.  I'm glad we can at least still use Navigator to search.  Training on how to use it was minimal at best.,
297,this is down or slow almost every day,
298,Huge pain to use,
299,THE ISSUE HERE IS THAT CERNER AS A WHOLE LACKS THE COMMAND OF THEIR PEOPLE TO MAKE THEM COMPLETE REMEDY. SO IT IS ABSOLUTELY LITTERED WITH INCOMPLETENESS... WHY??? BECAUSE DIRECTORS AND MANAGERS DO NOT MAKE THEIR EMPLOYEES DO THEIR JOB AND BE COMPLETE WHEN THEY ENTER INFOMRATION INTO REMEDY... SAD.,
300,Ask me if I'd have wanted navigator back 7 years ago.  Never thought I'd see the day.,
301,Remedy is always having issues,
302,Extremely confusing and 95% of it is not applicable to job,
303,"So slow, reduces productivity severely",
304,Remedy is the worst tool for user friendliness that I've ever worked with,
305,Generally is extremely slow and very difficult to find anything,
306,Really slow and the error messages don't show which mandatory fields are missing,
307,"very slow, drops connections constantly, difficult to use",
308,this tool is so slow at remote,
309,service now please,
310,it can't keep up and when it gets updated you can guarantee it'll be broken for a good month,
311,Remedy goes down weekly,
312,Remedy hinders productivity,
313,Very confusing to use.  Do not know anyone that likes using it.,
314,constant freezing and regular extended outtages have become weekly occurrences,
315,Help Desk relies on this for virtually every facet of our job and it fails on a regular basis. This makes our job extremely hard to do and I feel it that the functionality issues of this program hurts our reputation with our clients having to tell them that our ticketing system is down once again. It is an extremely frustrating tool to have to rely on.,
316,This is a slow and anti-intuitive program overall.,
317,I'm still unable to log a ticket in Remedy,
318,"I understand the need to standardize support clients, but Remedy is rediculously slow on some common workflows. Go to change a person's name or assign a client to an activity and it tries to do some auto load checking that causes the page to freeze for 30 seconds before you can select the box to add/replace the value. There's no equivilant that I've found to Navigator's Activity tab which allowed me to see tickets I'd recently worked on (and search for activities by type so I could look for Investigation activities by me, for example). Search is a joke. If I know a KB article and want to attach it, I can't do that directly but must search, then hit Relate. And if you put the exact CR number in, it still takes you to the search page and forces you to click Search before you can get results. It's harder to filter down results for the search because we don't have the sidebar anymore allowing us to see the way results are grouped and pick a particular grouping, like showing that I had 5 solutions and 1 CR and I could pick the CR to narrow it down. The results seem limited to 10 per page and there's no way to increase that, or make it scroll veritically to show more at once. Forcing Save and Relate buttons to the bottom of the page causes them to get obscured by those browser-generated tooltips that tell me things like javascript. The process of making solutions is now so onerous it's easier not to do them. Having multiple approvals doesn't work too well when your whole team is two people. Also while I was typing this Remedy froze and refused to load for almost 30 minutes, so the stability issues affect my ability to do my work. We use an in house tool to get around many of Remedy's shortcomings, SRM.",
319,WAY to slow,
320,requires too many clicks and dropdown options don't make sense,
321,I loathe this program and hate trying to figure out what browser it wants to work in this week.,
322,Goes down a lot,
323,It is extremely slow. Support has no ideas.,
324,Slow,
325,Too slow and sluggish and takes entirely too long to add new functionality or resolve what should have been resolved out of the box.,
326,"Remedy's a joke. Clunky + downtime, niiiiiice.",
327,Slow and down quite a bit,
328,"Compared to other issue tracking systems (like Jira), Remedy lacks many features.  As a result usability suffers tremendously.",
329,Lack of report options,
330,Slow and bulky interface. Not intuitive. Still case sensitive after all these years. Still have to scroll super long client list in areas. Really?,
331,"Maybe it's just that I haven't used it a ton since the rollout, but it's cumbersome to use.",
332,Cumbersom and times out to much,
333,Having an ability to search descriptions for other w,
334,The up and down nature of Remedy is tough for my team.  We do our best to be an immediate help to our clients and it extremely difficult when Remedy is down.,
335,Remedy is too complex and nonintuative. I think Navigator was even easier to use.,
336,"New implementaion is buggy, but improving slowly",
337,The number of fields make it a jumbled mess,
338,"extremely complicated and difficult to use as quickly as i used navigator. I don't use it every day, so i recognize part of that is my own learning curve, but it still seems cumbersome when I am investigating a client issue just to get what i need",
339,very complicate to use,
340,Find this tool very difficult to use,
341,Not enough rights or options available,
342,very slow in performance,
343,Doesn't open when first click.  Have to click refresh many times,
344,Hard to know what to log a ticket to.,
345,"Might be my lack of training, but I find thise difficult to use/ navigate. Especially searching for incidents and teams.",
346,latency issue for Australia,
347,Performance struggles.,
348,hard to understand it,
349,Clunky tool and not intuitive,
350,very difficult to navigate or understand,
351,Remedy is not as user friendly as I would like.  The tabs to enter additional information are confusing and not user firendly.,
352,Slow and clunky,
353,Difficult to get into on the TI campus,
354,"Slow, sometimes requires closing browser and clearing cache",
355,Service Desk a much easier product to use.,
356,"Very unintuitive, hard to use",
357,Hard to use - too complicated.,
358,rather slow,
359,Slow and Down to often,
360,"The searching of Remedy is very hard to use, it is pretty unintuitive, and it freezes and has to restart losing data all of the time, and is very, very slow.",
361,Cliumsy,
362,Remedy constantly freezes or crashes for offsite virtual associates.,
363,SalesForce or other CRM may be able to accomplish lead tracking and other need integration better.,
364,Its time to look at other solutions,
365,I do not like the long list when assigning which team the issue is logged to. Sometimes do not know which team to log issue to because the selections are not clear.,
366,Annoyingly overcomplicated and navigation is bad.,
367,Difficult to search for SRs and takes a while for it to load.,
368,Adding a CI for CRQ is a nightmare in this application.,
369,Inconsistent connectivity. Still experience bugs.,
370,Remedy stops often and goes down frequently,
371,Not as user friendly as Navigator/Siebel.,
372,Still trying to work this one out. Not that intuitive.,
373,Frequently need Remedy admin support for help in changing hardware records,
374,too many clicks,
375,"not very intuitive solution groupings, confusing to navigate.",
376,Very slow,
377,"slow, always seems to go down",
378,"I'm not in there a lot, but the UI is not very user friendly",
379,"slow, but better in the closer part",
380,slow and many wait periods with inconsistent performance,
381,Slow,
382,takes a long time to enter in a ticket,
383,The search functionality is terrible.,
384,"Not the most user friendly tool, but it does get the job done.",
385,not really user friendly. plus today it is down.,
386,Would like better reporting capabilities to keep track of open AMS tickets,
387,loading time is too slow,
388,not very intuitive,
389,Worried that things get lots and hard to follow up,
390,I use very little in remedy.,
391,searches are not categories like it was with Navigtor search.,
392,haven't had much chance to use it yet.,
393,still getting used to it....there are a ton of fields that are required and it's not easy to know what team to select.,
394,Connection to Remedy has been intermittent the past two days,
395,I have only had Remedy training but I have not had to go through the process of submitting Remedy tickets yet.,
396,Better than Navigator...,
397,Have little experince with it at this time.,
398,I am a novice user.,
399,Not to user friendly,
400,BMC Software,
401,Connection issues,
402,Freezes or crashes,
403,Seems fine.  I haven't had a lot of use of it yet.,
404,"Clunky functionality, many clients installing or migrating to ServiceNow",
405,Still learning how to do a quick remedy search like we used to be able to do in Navigator.,
406,"Getting better since the OCSM cutover, but still a lot of performance issues.",
407,Good (better than navigator) but has gone down several times including today,
408,"There are some things which can be indexed better to make it run much more efficiently, but it is fine",
409,Too clumsy.  Should have specific training per consulting group.,
410,Lots of performance issues,
411,Sometime is slow,
412,Sometimes a little clunky to use.,
413,loads very slow,
414,So slow in general,
415,Good decision to move away from Navigator to Remedy.,
416,some slowness and quirks,
417,Slow and a bit clunky,
418,Could be expanded to cover more and also better UI.,
419,Availability Issues.,
420,have not used yet,
421,Haven't had to use this much.,
422,Do not use in my daily workflow,
423,Not used,
424,"Performance is terrible, not a very good tool",
425,"Each org needs it's own instance and ability to customize to meet the business needfor the client, example ITWx",
426,Worse than navigator,
427,Not user friendly.  Performance is slow outside the US,
428,"I hate interacting with remedy, and it doesn't manage config, so it's not a CMDB, it's an asset database. Chef manages configuration.",
429,A lot of performance issues lately. My team depends on Remedy to log tickets for our clients - this performance is unacceptable.,
430,Remedy is very slow and we are required to build a whole set of tools just to make it serviceable. Even those tools are unreliable though just because of how Remedy's acceptance of the messages we send it are unreliable as well. Remedy should be replaced by a service that works as we want it to out of the box.,
431,down all the time and when it's up it's very slow.,
432,Remedy is almost impossible to figure out even with all the information handed out. Many times even the champions don't have answers. I only log tickets during go lives and it can take me 30 mins to figure it out and it is always wrong.,
433,Remedy is incredibly hard to use and not user friendly. Additionally does not offer a good search option to search past tickets.,
434,Always having issues,
435,This is very slow and many options are just too complicated,
436,This application has issues a lot.,
437,Worst decision to migrate fully to Remedy when the application was not reliable before the migration.,
438,"remedy is a joke. And SRM is great, but if you're going to build a UI for the tool, why not just build your own tool??",
439,Remedy is super slow all of the time.  This is causing teams to find other places for data that should be in remedy,
440,Horrible program. Too many errors to many way to make a error.,
441,SLOW. What i used to be able to with SR Viewer in 15-30 Seconds now takes minutes and tons of more clicks,
442,Old EVTS was much better.,
443,Hate how it times out so quickly! Major workflow disturbance that I have to continually open a new remedy session due to timeout.,
444,not the best for productivity,
445,Remedy is not user friendly,
446,So very very very very slow.,
447,"very hard to navigate, log tickets, search",
448,"Remedy fields are not intuitive, nor is the order in which you fill out the elements of a ticket. My team has had SRs closed if a field wasn't correct.",
449,Slow to operate,
450,Very difficult to open tickets.  Remedy becomes unresponsive when trying to populate the required fields.  I still can not open tickets via Remedy because of the stability of the program.,
451,"Too many steps to get issues logged. eService, Remedy and Navigator should have all be consolidated into one universal issues logging system.",
452,much more complicated than it needs to be for non-support employees to simply log a ticket. must be simplified. why can't we enter via the same way a client enters a ticket? remedy is TOO much and often tickets are delayed because we couldn't decipher between one drop down menu item from another and it simply sits in a random que until someone says. oh wait. this is wrong.,
453,"There are issues that happen with Remedy where I have logged issues and received an incident number but the issue wasn't saved. The secondary tab doesn't make sense and the entire process wastes a lot of valuable time for consultants. There should be a better, easier, streamlined process to know the team to submit an issue to and enter in the details needed for the team to troubleshoot without wasting a lot of time for consultants.",
454,Very slow and not intuitive to use.,
455,"Crashes all the time or freezes. Also, it would be really nice if we could add more than 1 attachment on an email out of Remedy. It would also be nice if we could put screenshots (without PHI) in the ticket. This would make explaining things better when tickets cross across different teams.",
456,Crashes multiple times a day,
457,"Navigator was more bare bones but seemed better for tracking multiple issues via filters, queries, etc.  Perhaps I'm not educated enough on Remedy, but quick and dirty search capabilities are huge.",
458,Slow,
459,fine when it does not freeze.,
460,Remedy is often down.,
461,Extremely cumbersome to use. It takes about 5 to 10 mins longer to log a ticket than before. The reporting on tickets is more difficult. More often than not either referencing a wiki guide or working with someone from SWx to help navigate through Remedy to generate a report or query. It is not an intuitive tool for end-users.,
462,Too many categories to have to sort through when logging a ticket.,
463,Awkward to use,
464,have to click on the link to remedy repeatedly to get it to launch - can't connect to server,
465,Downtime and performance,
466,"i am a little disappointed we don't enforce this more...there are ""bolt on"" applications used by AMS And SWx that are developed in house.  we should be utilizing remedy to the fullest.  i also heard the help desk and FRT teams are getting Service Now?  why, when we have remedy?",
467,Often slow or down.  It is necessary for my job and puts me behind when it is not working 100%,
468,"It performs slowly and sometimes does not function that well at ITworks site.   It is ok,but not optimal.",
469,"Too much downtime for a critical Support system. Poor design/layout choices in the default configuration, which make navigation slow.",
470,"Too bulky, the software is bloated in the fact that there are tons of uses that are needed for the majority of users.",
471,I wish the email communications sent through Remedy went through Outlook (like the old Navigator),
472,Very poor searching still,
473,"Performance is awful, lots of extra field we don't use.",
474,very difficult to use,
475,"Once you learn how to use it, it's OK. But we really need a better alternative. My workflow in this tool takes three times as long vs SR Viewer (even Navigator)",
476,always down,
477,hard to track progess and the application is slow to load,
478,not user friendly interface,
479,Drop down take forever to populate,
480,"painful to use, we have another tool SRM on top that is often slow/broken",
481,It is slow. Takes too long to respond when clicking in fields to type. Does not respond and will lose unsaved data. Cannot transparently see closes without complex query. KB searches are limited by solution and Remedy freezes every time you search something.,
482,"Too many fields, too slow and clunky.",
483,not as easy to use as navigator.  seem to be set up for those involved in troubleshooting rather than those who log the issues.,
484,Not very user frindly,
485,Tool very slow to load and inability to modify tickets is a step back from Navigator,
486,"Not as easy to find things as in Navigator.  But, connection from other browsers is nice.",
487,Very slow loading times.,
488,multiple issues weekly loading remedy,
489,Hard to use,
490,Difficult to remail loggen into for extended periods.,
491,"Remedy is good for logging tickets, but working on the back end can be cumbersome.",
492,times out,
493,slowness,
494,The UI is really rough and hard to use.  Why didn't we just use JIRA?,
495,"It malfunctions too often, causing our calls to suffer and our work flow to be stalled.",
496,Non intuitive. Oftern requires specific templates to complete a request.  simply too many fields.,
497,it seems to crase a lot,
498,I'm not enjoying it but maybe in time it will get better.  It hangs is is very slow.,
499,Remedy is excellent for Incident and KB functions but is horrible in the early phases as a Change Management tool.  Improvements cannot come quick enough.,
500,It's completely slow some times. Looks like more server farming needed.,
501,Hard to use,
502,Extremely slow,
503,"Not intuitive, tends to be slow",
504,Not always cooperative with connectivity,
505,lately login only after several attempts,
506,its slow,
507,"Too slow, which I'm sure is a common complaint, sorry!",
508,The fact that we have to use the SRM tool indicates Remedy doesn't have all the functionality we truly need.,
509,Slow,
510,"altough better than navigator, it is still not ideal as there are several extra steps and clicks that could be avoided (e.g. attach a file, select the right categorization tiers, etc)",
511,"Approval Central for KBs needs to be improved, lots of lag/delays to approve any KBs.",
512,sometimes it too slow to use,
513,Can be slow at times. If other functions such as submitting a change could have a user interface like ASK it would be awesome.,
514,Would like to see improved performance.,
515,Not in use yet,
516,"Just started, will eventually use Remedy.",
517,not sure what this is,
518,Haven't used as of yet,
519,"I would like to use Remedy, but my permissions are overly restricted",
520,"i work on a team that manages a support queue. we know we have outdated KBs, but we can't identify them because we have zero access to view the KBs that the help desk associates to the tickets. so we keep getting incorrect tickets routed to us.",
521,"You know it's bad when Clients warn you, ""You know it is awful and we went to ServiceNow, right?""",
522,"Slow, buggy, cumbersome to use",
